label,message,cleaned_message,message_length,word_count,label_encoded
spam,WIN RM10000! You are our lucky winner this month. Claim your prize now.,win lucky winner month claim prize,71,13,1
spam,Get cash fast no credit check apply now by texting LOAN to 89898. Limited time!,get cash fast credit check apply texting loan limited time,79,15,1
spam,Hot deal 50 percent off all products this week only. Visit our site to order now. Reply now!,hot deal percent product week visit site order reply,92,18,1
ham,Sorry I forgot to reply earlier yes that works perfectly for me.,sorry forgot reply earlier yes work perfectly,64,12,0
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here. Reply now!,parcel could delivered pay fee reschedule delivery click reply,93,16,1
spam,Congratulations! You have been selected for a free Nokia 6230. Call now to claim. Reply now!,congratulation selected free nokia call claim reply,92,16,1
ham,Just finished my exam feeling pretty good about it! Cheers!,finished exam feeling pretty good cheer,59,10,0
ham,The weather is beautiful today fancy a walk along the park later? Thanks.,weather beautiful today fancy walk along park later thanks,73,13,0
ham,The weather is beautiful today fancy a walk along the park later? Cheers!,weather beautiful today fancy walk along park later cheer,73,13,0
ham,The repair shop called your laptop is ready for collection today.,repair shop called laptop ready collection today,65,11,0
spam,Free entry in 2 a weekly comp to win FA Cup final tkts. Text FA to 87121 to receive entry.,free entry weekly comp win cup final tkts text receive entry,90,20,1
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang. Limited time!,anda menang percuma hubungi untuk menuntut hadiah anda sekarang limited time,96,13,1
ham,The kids had a great time at the park today after school. Thanks.,kid great time park today school thanks,65,13,0
spam,Earn money from home no experience needed. Text EARN to 80086 now. Call today!,earn money home experience needed text earn call today,78,14,1
spam,Amazing offer get 50 percent off all products this week only order now. Limited time!,amazing offer get percent product week order limited time,85,15,1
ham,The kids had a great time at the park today after school. Thanks.,kid great time park today school thanks,65,13,0
ham,The broadband engineer is coming between 9 and 12 tomorrow morning.,broadband engineer coming tomorrow morning,67,11,0
ham,I am running a bit late should be there by half past 7. Cheers!,running bit late half past cheer,63,14,0
spam,Romance is just a text away meet local singles text MEET to 89600 now. Reply now!,romance text away meet local single text meet reply,81,16,1
spam,Romance is just a text away meet local singles text MEET to 89600 now. Act fast!,romance text away meet local single text meet act fast,80,16,1
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer. Limited time!,awarded bonus verify account receive transfer limited time,94,15,1
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Call today!,free ringtone waiting text mix receive call today,78,15,1
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Reply now!,selamat nombor anda dipilih untuk memenangi hubungi kami segera reply,84,12,1
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here. Act fast!,parcel could delivered pay fee reschedule delivery click act fast,92,16,1
ham,What time does the movie start tonight?,time movie start tonight,39,7,0
ham,The kids had a great time at the park today after school.,kid great time park today school,57,12,0
spam,Free entry in 2 a weekly comp to win FA Cup final tkts. Text FA to 87121 to receive entry.,free entry weekly comp win cup final tkts text receive entry,90,20,1
ham,Mum says dinner is at 7 not 8 can you let the others know? Let me know.,mum say dinner let others know let know,71,17,0
ham,Can you send me that document we discussed earlier? Let me know.,send document discussed earlier let know,64,12,0
ham,I passed my driving test on the first attempt so happy right now! Thanks.,passed driving test first attempt happy right thanks,73,14,0
ham,Are we still on for lunch tomorrow at the usual place?,still lunch tomorrow usual place,54,11,0
ham,Jom makan tengahari sama sama kat kedai biasa kita. Thanks.,jom makan tengahari sama sama kat kedai biasa kita thanks,59,10,0
ham,I passed my driving test on the first attempt so happy right now!,passed driving test first attempt happy right,65,13,0
ham,We are out of coffee can you grab some on your way home? Cheers!,coffee grab way home cheer,64,14,0
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Act fast!,free ringtone waiting text mix receive act fast,76,15,1
ham,I cannot make it tonight something came up at work sorry.,make tonight something came work sorry,57,11,0
spam,Click here to claim your free iPhone now limited offer expires tonight. Call today!,click claim free iphone limited offer expires tonight call today,83,14,1
ham,Just booked the flights departure is Friday at 9am from KLIA. Thanks.,booked flight departure friday klia thanks,69,12,0
spam,WINNER!! You have been selected to receive a 900 prize reward! Call 09061701461 to claim now.,winner selected receive prize reward call claim,93,16,1
ham,I got the job starting Monday so excited about this opportunity! Thanks.,got job starting monday excited opportunity thanks,72,12,0
spam,Your account needs verification click here immediately to avoid suspension.,account need verification click immediately avoid suspension,75,10,1
ham,I cannot make it tonight something came up at work sorry. Let me know.,make tonight something came work sorry let know,70,14,0
ham,Do not forget we have dinner at mum and dads on Sunday evening. Let me know.,forget dinner mum dad sunday evening let know,76,16,0
ham,Just checking you remember about the meeting appointment at 10am.,checking remember meeting appointment,65,10,0
ham,Assignment kau dah siap ke belum kena hantar esok tau. Thanks.,assignment kau dah siap belum kena hantar esok tau thanks,62,11,0
ham,Can you let me know your dietary requirements for the dinner event? Thanks.,let know dietary requirement dinner event thanks,75,13,0
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately.,lucky draw send number claim immediately,75,14,1
ham,Boleh tolong ambilkan adik dari sekolah petang ni tak?,boleh tolong ambilkan adik dari sekolah petang tak,54,9,0
ham,The test results came back everything is normal thankfully so relieved. Thanks.,test result came back everything normal thankfully relieved thanks,79,12,0
ham,The train is delayed by 15 minutes meet you at the coffee shop. Thanks.,train delayed minute meet coffee shop thanks,71,14,0
ham,The repair shop called your laptop is ready for collection today.,repair shop called laptop ready collection today,65,11,0
spam,Hot deal 50 percent off all products this week only. Visit our site to order now.,hot deal percent product week visit site order,81,16,1
spam,Debt problems we can help free advice text DEBT to 84434 immediately.,debt problem help free advice text debt immediately,69,12,1
ham,Dentist appointment is at 2 30 on Thursday do not forget. Cheers!,dentist appointment thursday forget cheer,65,12,0
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now.,cash prize awarded receive reply detail,80,15,1
spam,You qualify for a free gift today. Claim before midnight. Text YES to 85023. Call today!,qualify free gift today claim midnight text yes call today,88,16,1
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Limited time!,exclusive offer double minute reply deal claim special offer limited time,89,14,1
ham,The kids had a great time at the park today after school.,kid great time park today school,57,12,0
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Reply now!,win ultimate night worth text night right reply,79,15,1
spam,Congratulations you have been chosen to participate in our monthly prize draw.,congratulation chosen participate monthly prize draw,78,12,1
ham,Do not forget we have dinner at mum and dads on Sunday evening.,forget dinner mum dad sunday evening,63,13,0
ham,The repair shop called your laptop is ready for collection today.,repair shop called laptop ready collection today,65,11,0
ham,Assignment kau dah siap ke belum kena hantar esok tau.,assignment kau dah siap belum kena hantar esok tau,54,10,0
ham,What time does the movie start tonight?,time movie start tonight,39,7,0
ham,We are out of coffee can you grab some on your way home? Let me know.,coffee grab way home let know,69,16,0
ham,Let me know when you land safely please text me.,let know land safely please text,48,10,0
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately.,lucky draw send number claim immediately,75,14,1
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now.,win ultimate night worth text night right,68,13,1
ham,Sorry I forgot to reply earlier yes that works perfectly for me.,sorry forgot reply earlier yes work perfectly,64,12,0
spam,Hot deal 50 percent off all products this week only. Visit our site to order now.,hot deal percent product week visit site order,81,16,1
ham,I am in the library if you need me call do not text. Let me know.,library need call text let know,65,16,0
spam,You have been selected to receive RM2000. Contact us immediately to get your money. Limited time!,selected receive contact immediately get money limited time,97,16,1
ham,Dentist appointment is at 2 30 on Thursday do not forget. Cheers!,dentist appointment thursday forget cheer,65,12,0
spam,Alert your bank account is suspended call immediately to restore access today. Act fast!,alert bank account suspended call immediately restore access today act fast,88,14,1
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP. Limited time!,winner specially selected receive cash ring asap limited time,101,18,1
spam,Congratulations! You have been selected for a free Nokia 6230. Call now to claim.,congratulation selected free nokia call claim,81,14,1
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Reply now!,six chance win cash pound txt csh send reply,93,19,1
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Limited time!,cash prize awarded receive reply detail limited time,94,17,1
ham,Shall we grab coffee this weekend and catch up properly? Let me know.,shall grab coffee weekend catch properly let know,69,13,0
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372 Limited time!,cash prize claim call claim line limited time,94,18,1
ham,The test results came back everything is normal thankfully so relieved.,test result came back everything normal thankfully relieved,71,11,0
spam,Earn money from home no experience needed. Text EARN to 80086 now. Act fast!,earn money home experience needed text earn act fast,76,14,1
ham,Just downloaded that app you mentioned it is really brilliant thanks. Cheers!,downloaded app mentioned really brilliant thanks cheer,77,12,0
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately.,lucky draw send number claim immediately,75,14,1
ham,I left my jacket at yours can I pick it up later today? Cheers!,left jacket pick later today cheer,63,14,0
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Reply now!,cash prize awarded receive reply detail reply,91,17,1
ham,I got the job starting Monday so excited about this opportunity! Thanks.,got job starting monday excited opportunity thanks,72,12,0
ham,I am in the library if you need me call do not text. Let me know.,library need call text let know,65,16,0
ham,Happy birthday to your little one hope they have a wonderful day. Thanks.,happy birthday little one hope wonderful day thanks,73,13,0
spam,Free entry in 2 a weekly comp to win FA Cup final tkts. Text FA to 87121 to receive entry.,free entry weekly comp win cup final tkts text receive entry,90,20,1
ham,Great news about your promotion really well deserved you worked hard. Cheers!,great news promotion really well deserved worked hard cheer,77,12,0
spam,Click here to claim your free iPhone now limited offer expires tonight. Limited time!,click claim free iphone limited offer expires tonight limited time,85,14,1
ham,Kau okay tak tadi nampak macam penat je muka kau.,kau okay tak tadi nampak macam penat muka kau,49,10,0
spam,You have unused loyalty points worth 80 claim before they expire tonight. Reply now!,unused loyalty point worth claim expire tonight reply,84,14,1
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW. Act fast!,six chance win cash pound txt csh send act fast,92,19,1
spam,You are pre approved for a 5000 loan no credit check required apply now. Reply now!,pre approved loan credit check required apply reply,83,16,1
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang. Reply now!,anda menang percuma hubungi untuk menuntut hadiah anda sekarang reply,93,13,1
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here. Call today!,parcel could delivered pay fee reschedule delivery click call today,94,16,1
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires.,urgent account unclaimed bonus login expires,76,12,1
spam,This is your final notice you owe money on your account call now to avoid action.,final notice owe money account call avoid action,81,16,1
spam,HMRC owes you 348 tax refund. Claim at hmrc-refund.co.uk now before it expires. Limited time!,hmrc owes tax refund claim hmrcrefundcouk expires limited time,93,15,1
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575 NOW.,six chance win cash pound txt csh send,82,17,1
ham,Tolong reminder aku pukul 3 petang ada meeting penting.,tolong reminder aku pukul petang ada meeting penting,55,9,0
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP. Call today!,winner specially selected receive cash ring asap call today,99,18,1
spam,Congratulations you won RM5000 cash prize. Reply YES to claim your reward today. Limited time!,congratulation cash prize reply yes claim reward today limited time,94,15,1
spam,LAST CHANCE reply WIN to claim your 500 voucher before tonight. Call today!,last chance reply win claim voucher tonight call today,75,13,1
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Limited time!,tahniah anda telah memenangi hubungi kami sekarang untuk menuntut hadiah anda limited time,101,14,1
ham,The weather is beautiful today fancy a walk along the park later? Let me know.,weather beautiful today fancy walk along park later let know,78,15,0
ham,The weather is beautiful today fancy a walk along the park later? Let me know.,weather beautiful today fancy walk along park later let know,78,15,0
ham,The weather is beautiful today fancy a walk along the park later? Cheers!,weather beautiful today fancy walk along park later cheer,73,13,0
spam,Congratulations you won RM5000 cash prize. Reply YES to claim your reward today.,congratulation cash prize reply yes claim reward today,80,13,1
ham,Semalam punya presentation ok ke tak nervous gila tengok kau.,semalam punya presentation tak nervous gila tengok kau,61,10,0
ham,Bila nak keluar lepak semua orang rindu kau lah.,bila nak keluar lepak semua orang rindu kau lah,48,9,0
ham,Let me know when you land safely please text me. Cheers!,let know land safely please text cheer,56,11,0
spam,IMPORTANT you could be entitled up to 3160 in compensation from your accident. Reply CLAIM.,important could entitled compensation accident reply claim,91,15,1
ham,Can you check if the back door is locked before you leave please? Let me know.,check back door locked leave please let know,78,16,0
ham,Assignment kau dah siap ke belum kena hantar esok tau. Cheers!,assignment kau dah siap belum kena hantar esok tau cheer,62,11,0
spam,Congratulations! You have been selected for a free Nokia 6230. Call now to claim. Call today!,congratulation selected free nokia call claim call today,93,16,1
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now.,cash prize awarded receive reply detail,80,15,1
spam,WIN RM10000! You are our lucky winner this month. Claim your prize now. Reply now!,win lucky winner month claim prize reply,82,15,1
ham,Is it ok if I bring a friend to the gathering on Saturday?,bring friend gathering saturday,58,13,0
spam,Anda menang RM500 percuma. Hubungi 0123456789 untuk menuntut hadiah anda sekarang.,anda menang percuma hubungi untuk menuntut hadiah anda sekarang,82,11,1
ham,We are out of coffee can you grab some on your way home?,coffee grab way home,56,13,0
spam,Hot deal 50 percent off all products this week only. Visit our site to order now.,hot deal percent product week visit site order,81,16,1
ham,Thanks for your help earlier really appreciated it so much. Cheers!,thanks help earlier really appreciated much cheer,67,11,0
ham,Do you have the notes from todays lecture on algorithms?,note today lecture algorithm,56,10,0
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Act fast!,selamat nombor anda dipilih untuk memenangi hubungi kami segera act fast,83,12,1
ham,Can you let me know your dietary requirements for the dinner event? Cheers!,let know dietary requirement dinner event cheer,75,13,0
ham,The kids had a great time at the park today after school. Let me know.,kid great time park today school let know,70,15,0
ham,What time does the movie start tonight?,time movie start tonight,39,7,0
spam,Congratulations you have been chosen to participate in our monthly prize draw. Act fast!,congratulation chosen participate monthly prize draw act fast,88,14,1
ham,I got the job starting Monday so excited about this opportunity!,got job starting monday excited opportunity,64,11,0
spam,Free ringtone waiting for you text MIX to 85069 to receive it now. Reply now!,free ringtone waiting text mix receive reply,77,15,1
ham,I left my jacket at yours can I pick it up later today? Let me know.,left jacket pick later today let know,68,16,0
ham,Just booked the flights departure is Friday at 9am from KLIA. Thanks.,booked flight departure friday klia thanks,69,12,0
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372,cash prize claim call claim line,80,16,1
ham,Mum says dinner is at 7 not 8 can you let the others know?,mum say dinner let others know,58,14,0
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer.,awarded bonus verify account receive transfer,80,13,1
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda.,tahniah anda telah memenangi hubungi kami sekarang untuk menuntut hadiah anda,87,12,1
ham,The kids had a great time at the park today after school.,kid great time park today school,57,12,0
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327.,win cash prize prize worth claim call,76,15,1
spam,Congratulations you won RM5000 cash prize. Reply YES to claim your reward today.,congratulation cash prize reply yes claim reward today,80,13,1
ham,Happy birthday to your little one hope they have a wonderful day. Thanks.,happy birthday little one hope wonderful day thanks,73,13,0
spam,FREE RM50 credit added to your account. Click here to activate your bonus now.,free credit added account click activate bonus,78,14,1
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately.,lucky draw send number claim immediately,75,14,1
ham,Nanti balik rumah singgah beli roti sekali boleh? Thanks.,nanti balik rumah singgah beli roti sekali boleh thanks,57,9,0
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.,phone number quarterly draw call collect today,74,13,1
ham,Just checking you remember about the meeting appointment at 10am. Thanks.,checking remember meeting appointment thanks,73,11,0
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today.,phone number quarterly draw call collect today,74,13,1
spam,Congratulations you have been chosen to participate in our monthly prize draw. Limited time!,congratulation chosen participate monthly prize draw limited time,92,14,1
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Call today!,tahniah anda telah memenangi hubungi kami sekarang untuk menuntut hadiah anda call today,99,14,1
spam,Romance is just a text away meet local singles text MEET to 89600 now. Call today!,romance text away meet local single text meet call today,82,16,1
ham,The train is delayed by 15 minutes meet you at the coffee shop. Let me know.,train delayed minute meet coffee shop let know,76,16,0
ham,The forecast says rain all weekend so maybe stay in and study. Let me know.,forecast say rain weekend maybe stay study let know,75,15,0
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Act fast!,exclusive offer double minute reply deal claim special offer act fast,85,14,1
spam,Click here to claim your free iPhone now limited offer expires tonight. Reply now!,click claim free iphone limited offer expires tonight reply,82,14,1
ham,What time does the movie start tonight? Cheers!,time movie start tonight cheer,47,8,0
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Reply now!,cash prize awarded receive reply detail reply,91,17,1
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment. Act fast!,claim reward limited time offer reply claim receive payment act fast,90,15,1
ham,Kau okay tak tadi nampak macam penat je muka kau.,kau okay tak tadi nampak macam penat muka kau,49,10,0
spam,Romance is just a text away meet local singles text MEET to 89600 now.,romance text away meet local single text meet,70,14,1
ham,Just booked the flights departure is Friday at 9am from KLIA. Let me know.,booked flight departure friday klia let know,74,14,0
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372 Call today!,cash prize claim call claim line call today,92,18,1
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now.,please call customer service representative freephone,79,12,1
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order. Call today!,free gift worth pay shipping click link order call today,87,16,1
spam,Alert your bank account is suspended call immediately to restore access today. Reply now!,alert bank account suspended call immediately restore access today reply,89,14,1
ham,Can you recommend a good plumber my sink is broken and leaking. Cheers!,recommend good plumber sink broken leaking cheer,71,13,0
ham,Do not forget we have dinner at mum and dads on Sunday evening.,forget dinner mum dad sunday evening,63,13,0
spam,WIN WIN WIN! RM1000 cash waiting for you. Text WIN to 32728 now. Limited time!,win win win cash waiting text win limited time,78,15,1
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer. Reply now!,awarded bonus verify account receive transfer reply,91,15,1
ham,Just booked the flights departure is Friday at 9am from KLIA. Thanks.,booked flight departure friday klia thanks,69,12,0
ham,Sorry I forgot to reply earlier yes that works perfectly for me. Cheers!,sorry forgot reply earlier yes work perfectly cheer,72,13,0
ham,Just got back from the gym absolutely exhausted after leg day. Let me know.,got back gym absolutely exhausted leg day let know,75,14,0
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment. Call today!,claim reward limited time offer reply claim receive payment call today,92,15,1
spam,You are pre approved for a 5000 loan no credit check required apply now. Call today!,pre approved loan credit check required apply call today,84,16,1
spam,Earn money from home no experience needed. Text EARN to 80086 now.,earn money home experience needed text earn,66,12,1
spam,You have unused loyalty points worth 80 claim before they expire tonight.,unused loyalty point worth claim expire tonight,73,12,1
spam,IMPORTANT you could be entitled up to 3160 in compensation from your accident. Reply CLAIM.,important could entitled compensation accident reply claim,91,15,1
spam,This is your final notice you owe money on your account call now to avoid action.,final notice owe money account call avoid action,81,16,1
spam,Important tax refund notice you are owed money claim it now online. Call today!,important tax refund notice owed money claim online call today,79,14,1
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires. Reply now!,urgent account unclaimed bonus login expires reply,87,14,1
spam,Click here to claim your free iPhone now limited offer expires tonight. Limited time!,click claim free iphone limited offer expires tonight limited time,85,14,1
ham,Kau okay tak tadi nampak macam penat je muka kau.,kau okay tak tadi nampak macam penat muka kau,49,10,0
spam,This is your final notice you owe money on your account call now to avoid action. Limited time!,final notice owe money account call avoid action limited time,95,18,1
spam,Debt problems we can help free advice text DEBT to 84434 immediately. Limited time!,debt problem help free advice text debt immediately limited time,83,14,1
ham,Can you let me know your dietary requirements for the dinner event? Let me know.,let know dietary requirement dinner event let know,80,15,0
ham,Do you have the notes from todays lecture on algorithms? Let me know.,note today lecture algorithm let know,69,13,0
ham,Just finished my exam feeling pretty good about it! Thanks.,finished exam feeling pretty good thanks,59,10,0
ham,Nanti balik rumah singgah beli roti sekali boleh? Let me know.,nanti balik rumah singgah beli roti sekali boleh let know,62,11,0
ham,Is it ok if I bring a friend to the gathering on Saturday?,bring friend gathering saturday,58,13,0
ham,I will be there in 20 minutes just leaving now.,minute leaving,47,10,0
ham,I left my jacket at yours can I pick it up later today?,left jacket pick later today,55,13,0
ham,Great news about your promotion really well deserved you worked hard. Let me know.,great news promotion really well deserved worked hard let know,82,14,0
spam,Earn money from home no experience needed. Text EARN to 80086 now. Reply now!,earn money home experience needed text earn reply,77,14,1
ham,Jom makan tengahari sama sama kat kedai biasa kita. Let me know.,jom makan tengahari sama sama kat kedai biasa kita let know,64,12,0
ham,Jom makan tengahari sama sama kat kedai biasa kita. Cheers!,jom makan tengahari sama sama kat kedai biasa kita cheer,59,10,0
spam,Debt problems we can help free advice text DEBT to 84434 immediately.,debt problem help free advice text debt immediately,69,12,1
ham,I passed my driving test on the first attempt so happy right now! Thanks.,passed driving test first attempt happy right thanks,73,14,0
ham,Tolong reminder aku pukul 3 petang ada meeting penting.,tolong reminder aku pukul petang ada meeting penting,55,9,0
spam,Congratulations! You have been selected for a free Nokia 6230. Call now to claim. Call today!,congratulation selected free nokia call claim call today,93,16,1
spam,URGENT! Your mobile number has been awarded a 2000 Bonus Caller Prize. Call 09066364589 now. Call today!,urgent mobile number awarded bonus caller prize call call today,104,17,1
ham,The train is delayed by 15 minutes meet you at the coffee shop.,train delayed minute meet coffee shop,63,13,0
ham,We are out of coffee can you grab some on your way home?,coffee grab way home,56,13,0
spam,You qualify for a free gift today. Claim before midnight. Text YES to 85023. Limited time!,qualify free gift today claim midnight text yes limited time,90,16,1
spam,Claim your RM200 reward now! Limited time offer. Reply CLAIM to receive payment. Reply now!,claim reward limited time offer reply claim receive payment reply,91,15,1
spam,You just won 1000000 rm. Dont miss it! Call now to claim your prize.,dont miss call claim prize,68,14,1
spam,Secret admirer alert someone fancies you call 09064019014 to find out who.,secret admirer alert someone fancy call find,74,12,1
spam,Click here to claim your free iPhone now limited offer expires tonight. Reply now!,click claim free iphone limited offer expires tonight reply,82,14,1
ham,Happy New Year hope this year brings you great things. Cheers!,happy new year hope year brings great thing cheer,62,11,0
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today. Call today!,phone number quarterly draw call collect today call today,86,15,1
ham,Do you have the notes from todays lecture on algorithms? Let me know.,note today lecture algorithm let know,69,13,0
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP.,winner specially selected receive cash ring asap,87,16,1
ham,Can you recommend a good plumber my sink is broken and leaking.,recommend good plumber sink broken leaking,63,12,0
ham,The book you recommended was fantastic just finished it last night. Let me know.,book recommended fantastic finished last night let know,80,14,0
ham,The test results came back everything is normal thankfully so relieved.,test result came back everything normal thankfully relieved,71,11,0
ham,Dentist appointment is at 2 30 on Thursday do not forget. Cheers!,dentist appointment thursday forget cheer,65,12,0
ham,Great news about your promotion really well deserved you worked hard.,great news promotion really well deserved worked hard,69,11,0
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Reply now!,win ultimate night worth text night right reply,79,15,1
ham,Happy New Year hope this year brings you great things. Thanks.,happy new year hope year brings great thing thanks,62,11,0
spam,Your account needs verification click here immediately to avoid suspension. Act fast!,account need verification click immediately avoid suspension act fast,85,12,1
spam,You just won 1000000 rm. Dont miss it! Call now to claim your prize. Act fast!,dont miss call claim prize act fast,78,16,1
spam,Your account needs verification click here immediately to avoid suspension.,account need verification click immediately avoid suspension,75,10,1
spam,Congratulations you passed our survey claim your Samsung S21 free today. Reply now!,congratulation passed survey claim samsung free today reply,83,13,1
spam,FREE gift worth RM300 for you! Just pay RM10 shipping. Click link to order. Call today!,free gift worth pay shipping click link order call today,87,16,1
ham,Just got back from the gym absolutely exhausted after leg day. Cheers!,got back gym absolutely exhausted leg day cheer,70,12,0
spam,Selamat! Nombor anda dipilih untuk memenangi RM3000. Hubungi kami segera. Call today!,selamat nombor anda dipilih untuk memenangi hubungi kami segera call today,85,12,1
spam,You have unused loyalty points worth 80 claim before they expire tonight. Act fast!,unused loyalty point worth claim expire tonight act fast,83,14,1
spam,Congratulations you passed our survey claim your Samsung S21 free today. Act fast!,congratulation passed survey claim samsung free today act fast,82,13,1
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Reply now!,win cash prize prize worth claim call reply,87,17,1
spam,URGENT! Your mobile number has been awarded a 2000 Bonus Caller Prize. Call 09066364589 now.,urgent mobile number awarded bonus caller prize call,92,15,1
spam,Congratulations you won RM5000 cash prize. Reply YES to claim your reward today.,congratulation cash prize reply yes claim reward today,80,13,1
ham,We are out of coffee can you grab some on your way home? Let me know.,coffee grab way home let know,69,16,0
spam,Click here to claim your free iPhone now limited offer expires tonight.,click claim free iphone limited offer expires tonight,71,12,1
spam,Earn money from home no experience needed. Text EARN to 80086 now. Call today!,earn money home experience needed text earn call today,78,14,1
ham,Just got back from the gym absolutely exhausted after leg day.,got back gym absolutely exhausted leg day,62,11,0
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Limited time!,lucky draw send number claim immediately limited time,89,16,1
spam,Urgent your account has RM1500 unclaimed bonus. Login now before it expires.,urgent account unclaimed bonus login expires,76,12,1
spam,Secret admirer alert someone fancies you call 09064019014 to find out who. Act fast!,secret admirer alert someone fancy call find act fast,84,14,1
spam,Your phone number won RM2500 in our quarterly draw. Call to collect today. Act fast!,phone number quarterly draw call collect today act fast,84,15,1
spam,IMPORTANT you could be entitled up to 3160 in compensation from your accident. Reply CLAIM.,important could entitled compensation accident reply claim,91,15,1
ham,I am running a bit late should be there by half past 7. Thanks.,running bit late half past thanks,63,14,0
ham,The kids had a great time at the park today after school. Thanks.,kid great time park today school thanks,65,13,0
ham,Just downloaded that app you mentioned it is really brilliant thanks. Thanks.,downloaded app mentioned really brilliant thanks thanks,77,12,0
ham,Just wanted to check you got home ok last night after the event.,wanted check got home last night event,64,13,0
ham,Can you let me know your dietary requirements for the dinner event? Thanks.,let know dietary requirement dinner event thanks,75,13,0
spam,Your parcel could not be delivered pay 1.50 fee to reschedule delivery click here. Limited time!,parcel could delivered pay fee reschedule delivery click limited time,96,16,1
spam,URGENT! Your mobile number has been awarded a 2000 Bonus Caller Prize. Call 09066364589 now.,urgent mobile number awarded bonus caller prize call,92,15,1
ham,The forecast says rain all weekend so maybe stay in and study. Thanks.,forecast say rain weekend maybe stay study thanks,70,13,0
ham,Just got back from the gym absolutely exhausted after leg day. Thanks.,got back gym absolutely exhausted leg day thanks,70,12,0
spam,WINNER!! You have been selected to receive a 900 prize reward! Call 09061701461 to claim now. Call today!,winner selected receive prize reward call claim call today,105,18,1
spam,Important tax refund notice you are owed money claim it now online.,important tax refund notice owed money claim online,67,12,1
spam,Get cash fast no credit check apply now by texting LOAN to 89898. Call today!,get cash fast credit check apply texting loan call today,77,15,1
spam,Secret admirer alert someone fancies you call 09064019014 to find out who. Call today!,secret admirer alert someone fancy call find call today,86,14,1
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP. Reply now!,winner specially selected receive cash ring asap reply,98,18,1
spam,Congratulations you have been chosen to participate in our monthly prize draw. Reply now!,congratulation chosen participate monthly prize draw reply,89,14,1
ham,Just got back from the gym absolutely exhausted after leg day. Cheers!,got back gym absolutely exhausted leg day cheer,70,12,0
spam,URGENT! Your mobile number has been awarded a 2000 Bonus Caller Prize. Call 09066364589 now. Reply now!,urgent mobile number awarded bonus caller prize call reply,103,17,1
